ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
5003,simple,VC1,"Plastic Compact Vegetable Chopper",1,0,visible,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
\n 	<li><span class=""a-list-item"">Made from high quality 100% food grade Plastic that is BPA free</span></li>
\n 	<li><span class=""a-list-item"">Imported spring action mechanism that allows easy pulling and lasts long</span></li>
\n 	<li><span class=""a-list-item"">Perfect for cutting onions, garlic, tomatoes, vegetables, salads, herbs, fruits, boneless meat, nuts and more in seconds</span></li>
\n 	<li><span class=""a-list-item"">Ideal capacity of 350ml that is compact to use and store</span></li>
\n 	<li><span class=""a-list-item"">The chopper has 3 sharp stainless steel blades that cut through vegetables easily. The number of pulls determine the size of the cuts</span></li>
\n 	<li><span class=""a-list-item"">Comes with an anti-skid base that allows use on smooth surfaces like Glass tops, Granite and polished wood</span></li>
\n 	<li><span class=""a-list-item"">Comes with a locking mechanism that prevents any spillage of contents outside and also ensures safety</span></li>
\n</ul>",,,taxable,,1,,,0,0,450,15,10,5,1,,,199,"Vegetable choppers","Plastic Compact Vegetable Chopper",,"https://zevaara.com/wp-content/uploads/2022/08/81ZNqotTQTL._SL1500_-1.jpg, https://zevaara.com/wp-content/uploads/2022/08/719aqOdaqPL._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/81eI2a7amL._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/713FbXrU2CL._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/31RS0-Se3UL.jpg",,,,,,,,,0
5037,simple,VC3,"Plastic Large Vegetable Chopper With 3 Blades",1,0,visible,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
\n 	<li><span class=""a-list-item"">Handy vegetable and fruit chopper</span></li>
\n 	<li><span class=""a-list-item"">Equipped with 3 high-quality sharp stainless steel blades for easy chopping</span></li>
\n 	<li><span class=""a-list-item"">Volume capacity: 500 ml</span></li>
\n 	<li><span class=""a-list-item"">Compact size of 13.5 cm x 13.5 cm x 9cm, which can be stored easily in the kitchen</span></li>
\n 	<li><span class=""a-list-item"">High-quality food grade plastic body: for near-unbreakable use</span></li>
\n 	<li><span class=""a-list-item"">Individual parts (blades, container, and the lid) are easy to maintain and clean separately</span></li>
\n 	<li><span class=""a-list-item"">4 locks on the lid to help lock in safely while in use</span></li>
\n 	<li><span class=""a-list-item"">Easy strong pulley mechanism to chop all types of fruits and vegetables effortlessly</span></li>
\n</ul>",,,taxable,,1,,,0,0,450,15,10,5,1,,,199,"Vegetable choppers","Plastic Large Vegetable Chopper With 3 Blades",,"https://zevaara.com/wp-content/uploads/2022/08/61QwxHMc7GL._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/715nCPe3z-L._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/81O7hDHCHDL._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/919jmZUABtL._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/51tjMeONVoL._SL1044_.jpg, https://zevaara.com/wp-content/uploads/2022/08/41D9FnojbSL._SL1050_.jpg",,,,,,,,,0
5046,simple,VC4,"Classic String Vegetable Chopper & Whipper",1,0,visible,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
\n 	<li><span class=""a-list-item"">SHARPE TRIPLE BLADE: This vegetable chopper comes with 3 sharp stainless steel blade places in different position to cover the entire height of the chopper, and manage to chop very easily in seconds.</span></li>
\n 	<li><span class=""a-list-item"">TRANSPARENT JAR: Vegetable chopper comes with a transparent jar which allows you to see the size of the vegetables inside while they are being chopped</span></li>
\n 	<li><span class=""a-list-item"">SILICONE-SUPPORTED BASE : Classic String Chopper comes with a silicone ring in the base which provides a grip when kept on your slab, keep one hand firmly on the chopper as you push with the other.</span></li>
\n 	<li><span class=""a-list-item"">ERGONOMIC DESIGN: Sleek design of this vegetable choper makes this product a must have in every kitchen household. Silicone bottom strip gives a firm grip of the slab and prevents slipping. The product is of superior quality. P</span></li>
\n 	<li><span class=""a-list-item"">MULTI-UTILITY CHOPPER: This vegetable Chopper comes with a special whisking attachment which enables whisking of eggs to make your fluffy omelets. Get freshly homemade cream or yogurt with the help of this special attachment</span></li>
\n</ul>",,,taxable,,1,,,0,0,450,15,10,5,1,,,199,"Vegetable choppers","Classic String Vegetable Chopper &amp; Whipper",,"https://zevaara.com/wp-content/uploads/2022/08/51PIsmlxcEL._SL1000_.jpg, https://zevaara.com/wp-content/uploads/2022/08/51OPdbtENwL._SL1080_.jpg, https://zevaara.com/wp-content/uploads/2022/08/51OKU2mD8BL._SL1080_.jpg, https://zevaara.com/wp-content/uploads/2022/08/5172yzMwNFL._SL1080_.jpg, https://zevaara.com/wp-content/uploads/2022/08/41QhjwNrfxL._SL1080_.jpg, https://zevaara.com/wp-content/uploads/2022/08/71JsbQ6igGL._SL1080_.jpg",,,,,,,,,0
5089,simple,VC5,"Mini Handy And Compact Chopper With 3 Blades",1,0,visible,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
\n 	<li><span class=""a-list-item"">Unique string function to chop vegetables and fruits with ease;Package Contents: 1-Piece Handy Chopper</span></li>
\n 	<li><span class=""a-list-item"">Eco-friendly design, no electricity required;Warranty: 30 Days Warranty, Only On Manufacturing Defects</span></li>
\n 	<li><span class=""a-list-item"">Made from unbreakable ABS plastic for long-lasting use, Material: Polypropylene (PP);Sturdy 3-blade design made from Stainless Steel, As this chopper by Pigeon can be opened and detached easily, cleaning is an easy task using lukewarm water, mild detergent and a soft cloth.Power Requirement: Manual</span></li>
\n 	<li><span class=""a-list-item"">Colour: Green, Material: Plastic</span></li>
\n 	<li><span class=""a-list-item"">Size Name: Standard</span></li>
\n</ul>",,,taxable,,1,,,0,0,450,15,10,5,1,,,199,"Vegetable choppers","Mini Handy And Compact Chopper With 3 Blades",,"https://zevaara.com/wp-content/uploads/2022/08/51RXzjrUmkL._SL1000_.jpg, https://zevaara.com/wp-content/uploads/2022/08/61M9Db2OSL._SL1000_.jpg, https://zevaara.com/wp-content/uploads/2022/08/61UhLq-k8sL._SL1000_.jpg, https://zevaara.com/wp-content/uploads/2022/08/61uliXeEXmL._SL1000_.jpg, https://zevaara.com/wp-content/uploads/2022/08/71wvN3pckYL._SL1000_.jpg, https://zevaara.com/wp-content/uploads/2022/08/61JztoFW5zL._SL1000_.jpg, https://zevaara.com/wp-content/uploads/2022/08/314y197f2rL.jpg",,,,,,,,,0
5113,simple,VC6,"Premium Vegetable Chopper",1,0,visible,,"<div id=""featurebullets_feature_div"" class=""celwidget"" data-feature-name=""featurebullets"" data-cel-widget=""featurebullets_feature_div"" data-csa-c-id=""74lqy8-byvodu-w19puv-q5xr0t"">
\n<div id=""feature-bullets"" class=""a-section a-spacing-medium a-spacing-top-small"">
\n<ul class=""a-unordered-list a-vertical a-spacing-mini"">
\n 	<li><span class=""a-list-item"">Unique string function to chop vegetables and fruits with ease</span></li>
\n 	<li><span class=""a-list-item"">Made from unbreakable ABS plastic for long-lasting use. Power Requirement : No</span></li>
\n 	<li><span class=""a-list-item"">Sturdy 3-blade design made from Stainless Steel</span></li>
\n 	<li><span class=""a-list-item"">Eco-friendly design</span></li>
\n 	<li><span class=""a-list-item"">Sleek &amp; Compact Look</span></li>
\n</ul>
\n</div>
\n</div>
\n<div id=""provenanceCertifications_feature_div"" class=""celwidget"" data-feature-name=""provenanceCertifications"" data-cel-widget=""provenanceCertifications_feature_div"" data-csa-c-id=""hth7hh-e6pvhh-ygsvtp-tyslzb""></div>
\n<div id=""customerReviewsAttribute_feature_div"" class=""celwidget"" data-feature-name=""customerReviewsAttribute"" data-cel-widget=""customerReviewsAttribute_feature_div"" data-csa-c-id=""f6t19u-hawj7b-vjdyj0-3ytbi6"">
\n<div class=""cra-desktop-width "">
\n<div class=""a-row a-spacing-base""></div>
\n</div>
\n</div>",,,taxable,,1,,,0,0,450,15,10,5,1,,,199,"Vegetable choppers","Premium Vegetable Chopper",,"https://zevaara.com/wp-content/uploads/2022/08/312YOAG9luL.jpg, https://zevaara.com/wp-content/uploads/2022/08/31Pdn3FqVQL.jpg, https://zevaara.com/wp-content/uploads/2022/08/3185dox3GkL.jpg",,,,,,,,,0
5119,simple,VC7,"Handy And Compact Chopper With 5 Blades",1,0,visible,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
\n 	<li><span class=""a-list-item"">Unique string function of handy chopper xl helps to chop vegetables and fruits with ease</span></li>
\n 	<li><span class=""a-list-item"">Handy Chopper XL has Eco-friendly design, no electricity required, Convenient and Easy Handling</span></li>
\n 	<li><span class=""a-list-item"">Handy Chopper XL comes with Sturdy 5 blade design made from Stainless Steel, As this chopper by Pigeon can be opened and detached easily, cleaning is an easy task using lukewarm water, mild detergent and a soft cloth.</span></li>
\n 	<li><span class=""a-list-item"">Handy Chopper XL is made from Polypropylene (PP) for long-lasting use.</span></li>
\n 	<li><span class=""a-list-item"">Warranty: 30 Days Warranty, Only On Manufacturing Defects.</span></li>
\n 	<li><span class=""a-list-item"">Package Contents: 1-Piece Handy Chopper XL with 5 Stainless steel balde and plastic Whisker.</span></li>
\n</ul>",,,taxable,,1,,,0,0,450,15,10,5,1,,,199,"Vegetable choppers","Handy And Compact Chopper With 5 Blades",,"https://zevaara.com/wp-content/uploads/2022/08/61YxRfFa3tL._SL1000_.jpg, https://zevaara.com/wp-content/uploads/2022/08/61mknynRKL._SL1000_.jpg",,,,,,,,,0
5130,simple,VC8,"Plastic Multipurpose Vegetable And Fruit Chopper Cutter Grater Slicer",1,0,visible,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
\n 	<li><span class=""a-list-item"">Large break resistant container with rubber grip base which holds the device firmly in place</span></li>
\n 	<li><span class=""a-list-item"">Fastest, safest and easiest way to chop or dice fruits and vegetables ; Not Dishwasher Safe ; Other Features: Easy To Use, Clean and Store, Hand Operated, No Electricity Needed, The Container Is Break Resistant, Extra Sharp Stainless Steel Blades</span></li>
\n 	<li><span class=""a-list-item"">Advanced push to clean button which ensures easy and hygienic cleaning</span></li>
\n 	<li><span class=""a-list-item"">High-quality stainless steel blades for easy chopping, Sharp pyramid-shaped cutting blade for efficient and smooth cutting</span></li>
\n 	<li><span class=""a-list-item"">Large detachable container which can also be used to store vegetable and fruits in refrigerator</span></li>
\n 	<li><span class=""a-list-item"">Colour: Green, Material: Plastic and Stainless Steel, Shape: Rectangle</span></li>
\n 	<li><span class=""a-list-item"">Package Contents: 1 Plastic Container, 1 peeler with grater, 1 safety holder, 1 masher &amp; 1 handle with cleaning press</span></li>
\n 	<li><span class=""a-list-item"">Blades: 1 dual, 2 slicer, 2 grater, 1 Juliane, blade die attachment</span></li>
\n</ul>",,,taxable,,1,,,0,0,450,15,10,5,1,,,199,"Vegetable choppers","Plastic Multipurpose Vegetable And Fruit Chopper Cutter Grater Slicer",,"https://zevaara.com/wp-content/uploads/2022/08/81d8S7iPvYL._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/81lnUdrI5bL._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/61ydUU6LR7S._SL1477_.jpg, https://zevaara.com/wp-content/uploads/2022/08/71HXs289YS._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/71uL0O-E-S._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/61QjzyOM8S._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/811hg5wWO7S._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/31l13MCPdsL.jpg",,,,,,,,,0
5168,simple,VC9,"Food Chopper Steel Large Manual Hand-Press Vegetable Chopper",1,0,visible,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
\n 	<li><span class=""a-list-item"">Vegetable Chopper: The chopping blades are made of heavy-duty stainless steel that won’t bend or rust, sharp, rustproof, and corrosion-resistant, cut potatoes, tomatoes, cucumbers, carrots easily.</span></li>
\n 	<li><span class=""a-list-item""> Big Capacity Vegetable Cutter: Built-in chop bowl lets you cut foods directly into the 650ml collection tray without the mess of a knife and cutting board.</span></li>
\n 	<li><span class=""a-list-item""> Convenient Food Slicer: Only press the food slicer for perfect processing. This multi-purpose chopper is portable and compact enough for all kitchens large or small.</span></li>
\n 	<li><span class=""a-list-item"">Easy to Clean Food Chopper: The chopper cup body and lid are separable. You can remove the blade and wash it with water directly after chopping the food.</span></li>
\n 	<li><span class=""a-list-item""> Vegetable Slicer Gift: What else can make a better gift for your loved ones than this gift of health. Perfect for moms, professional chefs, cooks, healthy-conscious individuals, food enthusiasts alike.</span></li>
\n</ul>",,,taxable,,1,,,0,0,450,15,10,5,1,,,199,"Vegetable choppers","Food Chopper Steel Large Manual Hand-Press Vegetable Chopper",,"https://zevaara.com/wp-content/uploads/2022/08/51AJlXtZVL._SL1024_.jpg, https://zevaara.com/wp-content/uploads/2022/08/516vqEn9YOL.jpg, https://zevaara.com/wp-content/uploads/2022/08/51rFg47sxqL.jpg, https://zevaara.com/wp-content/uploads/2022/08/51YwDeHZGKL.jpg, https://zevaara.com/wp-content/uploads/2022/08/71eltJwgmfL._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/817YUt-JMSL._SL1500_.jpg",,,,,,,,,0
5176,simple,VC10,"Plastic Compact Vegetable Chopper With 3 Blades",1,0,visible,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
\n 	<li><span class=""a-list-item"">Capacity : 450 ML , Color : Green</span></li>
\n 	<li><span class=""a-list-item"">Multi-Purpose Use For Kitchen And Outdoor Cooking</span></li>
\n 	<li><span class=""a-list-item"">Package Contents: 1-Piece Handy Chopper(Color As Per Availability)</span></li>
\n 	<li><span class=""a-list-item"">Perfect Grip</span></li>
\n 	<li><span class=""a-list-item"">Easy To Use</span></li>
\n 	<li><span class=""a-list-item"">Easy To Clean</span></li>
\n 	<li><span class=""a-list-item"">Easy cleaning: Blades, bowl and storage lid are top-rack dishwasher safe, components come apart for easy cleaning</span></li>
\n</ul>",,,taxable,,1,,,0,0,450,15,10,5,1,,,199,"Vegetable choppers","Plastic Compact Vegetable Chopper With 3 Blades",,"https://zevaara.com/wp-content/uploads/2022/08/61q6igBqS5L._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/61kOWCXvHuL._SL1280_.jpg, https://zevaara.com/wp-content/uploads/2022/08/51yLFZX8kBL.jpg, https://zevaara.com/wp-content/uploads/2022/08/51JBGUqmO9L.jpg, https://zevaara.com/wp-content/uploads/2022/08/51pTN1ky8PS._SL1280_.jpg, https://zevaara.com/wp-content/uploads/2022/08/51wo0fa0ncL._SL1024_.jpg, https://zevaara.com/wp-content/uploads/2022/08/51ZvyQMCIZL.jpg",,,,,,,,,0
5192,simple,VC11,"Plastic Vegetable Chopper Cutter",1,0,visible,,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
\n 	<li><span class=""a-list-item"">High quality stainless steel blades</span></li>
\n 	<li><span class=""a-list-item"">Non skid base ; Big handle for easy pull. Not Dishwasher Safe</span></li>
\n 	<li><span class=""a-list-item"">Easy to clean. Safety Features : Safe for hands.</span></li>
\n 	<li><span class=""a-list-item"">380 knife cuts in less than 20 secs. Electric:No</span></li>
\n 	<li><span class=""a-list-item"">Cut and chop in secs</span></li>
\n 	<li><span class=""a-list-item"">Stylish look</span></li>
\n</ul>",,,taxable,,1,,,0,0,450,15,10,5,1,,,199,"Vegetable choppers","Plastic Vegetable Chopper Cutter",,"https://zevaara.com/wp-content/uploads/2022/08/71LML7H192L._SL1500_.jpg, https://zevaara.com/wp-content/uploads/2022/08/81BV9r6vbAL._SL1500_.jpg",,,,,,,,,0
