"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Minimum Quantity","Maximum Quantity","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 3 default"
"17d49dd0-fa83-11eb-b972-95dd5261d504","variable","ANSHU_001_S","Buti Print Ajrakh Digital Print Shirt","1","","visible","","<meta charset=""utf-8""><meta charset=""utf-8"">
<p><span style=""color: #444444;"">For size guide click <a href=""https://Pinstitch.in/pages/size-chart"">here</a>.Â </span></p>
<p><span style=""color: #444444;"" mce-data-marked=""1"">Exquisitely crafted by the expert artisans of Kutch, this intricate ajrakh shirt is the perfect festive wear.Â </span></p>
<p><span style=""color: #444444;"">Fabric: P-Cotton</span><br><span style=""color: #444444;"">Color: Maroon / Brown</span><br><span style=""color: #444444;"">Fit: Regular</span><br><span style=""color: #444444;"">Sleeve: Full Sleeve</span><br><span style=""color: #444444;"">Collar: Chinese</span><br><span style=""color: #444444;"">Pattern: Digital Print</span><br><span style=""color: #444444;"">Buttons: WoodenÂ </span></p>
<p><strong>Know your Fabric</strong></p>
<p><span style=""font-weight: 400;"">Ajrakhâ€™s name is derived from 'azarak' meaning 'blue' in Arabic. It finds it origin from the Sindh region in India and was introduced in the Mughal period. It is a Digital-printed textile that is made using natural dyes namely indigo (blue) and madder (red), though now many colors are used. Â An Ajrakh print is identified by its complex geometric and floral patterns. A remarkable feature of Ajrakh print is that on a single fabric, resist printing along with other printing and dyeing techniques are used in combination. The whole process is repeated on both sides of the fabric in perfect cohesion which calls for unsurpassed skill. Ajrakh uses mud-resist in the various stages and another unique feature is that the dyeing and printing is repeated twice on the fabric to ensure brilliance of colour. Superimposing the repeats is done perfectly thus revealing a sense of detail in every motif designed.</span></p>
<p><span style=""font-weight: 400;"" mce-data-marked=""1"">Fabric Care: Handwash separately.</span></p>","","","taxable","","1","","","","","150","","","","1","","","","","Most Popular","","http://shopify.test/storage/1/images/17d49dd0-fa83-11eb-b972-95dd5261d504/16286727014894.png","","","ANSHU_001_S","","","","","","","","","Size","S, M, L, XL, 2XL","1","0","S","","","","","","","","","",""
"1","variation","ANSHU_001_S","Buti Print Ajrakh Digital Print Shirt","1","","visible","","","","","taxable","parent","1","991","","","","150","","","","","","799","1599","","","","","","","ANSHU_001_S","","","","","","","","","Size","S","","0","","","","","","","","","","",""
"2","variation","ANSHU_001_M","Buti Print Ajrakh Digital Print Shirt","1","","visible","","","","","taxable","parent","1","993","","","","150","","","","","","799","1599","","","","","","","ANSHU_001_S","","","","","","","","","Size","M","","0","","","","","","","","","","",""
"3","variation","ANSHU_001_L","Buti Print Ajrakh Digital Print Shirt","1","","visible","","","","","taxable","parent","1","1000","","","","150","","","","","","799","1599","","","","","","","ANSHU_001_S","","","","","","","","","Size","L","","0","","","","","","","","","","",""
"4","variation","ANSHU_001_XL","Buti Print Ajrakh Digital Print Shirt","1","","visible","","","","","taxable","parent","1","1000","","","","150","","","","","","799","1599","","","","","","","ANSHU_001_S","","","","","","","","","Size","XL","","0","","","","","","","","","","",""
"5","variation","ANSHU_001_XXL","Buti Print Ajrakh Digital Print Shirt","1","","visible","","","","","taxable","parent","1","999","","","","150","","","","","","799","1599","","","","","","","ANSHU_001_S","","","","","","","","","Size","2XL","","0","","","","","","","","","","",""
"17ea7b40-fa83-11eb-82d4-3fc53f1ba51b","variable","ANSHU_002_S","Floral Print Ajrakh Handblock Shirt","1","","visible","","<meta charset=""utf-8""><meta charset=""utf-8"">
<p><span style=""color: #444444;"">For size guide click <a href=""https://Pinstitch.in/pages/size-chart"">here</a>.Â </span></p>
<p><span style=""color: #444444;"" mce-data-marked=""1"">Exquisitely crafted by the expert artisans of Kutch, this intricate ajrakh shirt is the perfect festive wear.Â </span></p>
<p><span style=""color: #444444;"">Fabric: Cotton</span><br><span style=""color: #444444;"">Color: Navy Blue</span><br><span style=""color: #444444;"">Fit: Regular</span><br><span style=""color: #444444;"">Sleeve: Half Sleeve</span><br><span style=""color: #444444;"">Collar: Regular</span><br><span style=""color: #444444;"">Pattern: Ajrakh Handblock</span><br><span style=""color: #444444;"">Buttons: WoodenÂ </span></p>
<p><strong>Know your Fabric</strong></p>
<p><span style=""font-weight: 400;"">Ajrakhâ€™s name is derived from 'azarak' meaning 'blue' in Arabic. It finds it origin from the Sindh region in India and was introduced in the Mughal period. It is a block-printed textile that is made using natural dyes namely indigo (blue) and madder (red), though now many colors are used. Â An Ajrakh print is identified by its complex geometric and floral patterns. A remarkable feature of Ajrakh print is that on a single fabric, resist printing along with other printing and dyeing techniques are used in combination. The whole process is repeated on both sides of the fabric in perfect cohesion which calls for unsurpassed skill. Ajrakh uses mud-resist in the various stages and another unique feature is that the dyeing and printing is repeated twice on the fabric to ensure brilliance of colour. Superimposing the repeats is done perfectly thus revealing a sense of detail in every motif designed.</span></p>
<p><span style=""font-weight: 400;"" mce-data-marked=""1"">Fabric Care: Handwash separately.</span></p>","","","taxable","","1","","","","","150","","","","1","","","","","Most Popular","","http://shopify.test/storage/1/images/17ea7b40-fa83-11eb-82d4-3fc53f1ba51b/16286727028875.png","","","ANSHU_002_S","","","","","","","","","Size","S, M, L, XL, 2XL","1","0","S","","","","","","","","","",""
"6","variation","ANSHU_002_S","Floral Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","979","","","","150","","","","","","799","1599","","","","","","","ANSHU_002_S","","","","","","","","","Size","S","","0","","","","","","","","","","",""
"7","variation","ANSHU_002_M","Floral Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","998","","","","150","","","","","","799","1599","","","","","","","ANSHU_002_S","","","","","","","","","Size","M","","0","","","","","","","","","","",""
"8","variation","ANSHU_002_L","Floral Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","999","","","","150","","","","","","799","1599","","","","","","","ANSHU_002_S","","","","","","","","","Size","L","","0","","","","","","","","","","",""
